	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie A
		Team Fly						Real Sivori
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
		1a Camp. (1a Andata) Serie B
		F.C. Boliverz						Red Bull F.C.
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	PR	CHRISTENSEN Oliver	6	-2	4	P	MAIGNAN Mike Peterson	6	-1	5
	D	CASALE Nicolo`	4,5	0	4,5	D	DANILO Luiz da Silva	6,5	0	6,5
	D	MAZZOCCHI Pasquale	5	0	5	D	HERNANDEZ Theo Bernard	7	2,5	9,5
	D	MILENKOVIC Nikola	6	0	6	D	KOLASINAC Sead	6,5	0	6,5
	C	BARELLA Nicolo`	6	0	6	DR	SCALVINI Giorgio	5	0	5
	C	FERGUSON Lewis	7	3	10	C	CANDREVA Antonio	7	0,5	7,5
	C	KOOPMEINERS Teun	5	0	5	C	COULIBALY Lassana	6	0	6
	C	LOFTUS-CHEEK Ruben Ira	7	1	8	C	HARROUI Abderrahman	6,5	3	9,5
	A	BELTRAN Lucas	6,5	0	6,5	A	CAPUTO Francesco	5	0	5
	A	GONZALEZ Nicolas Ivan	6,5	3	9,5	A	DE KETELAERE Charles	5,5	0	5,5
	A	NZOLA M`Bala	5,5	0	5,5	A	GIROUD Olivier Jonathan	7	4	11
				Parziale squadra	70					Parziale squadra	77
				Totale squadra	71					Totale squadra	78
				Gol	1					Gol	3
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	Ps	TERRACCIANO Pietro	sv/ng	0	sv/ng	Ds	BIRAGHI Cristiano	sv/ng	0	sv/ng
	D	MANCINI Gianluca	5,5	0	5,5	P	SPORTIELLO Marco	sv/ng	0	sv/ng
	D	IZZO Armando	6,5	-0,5	6	D	DAWIDOWICZ Pawel Marek	6,5	-0,5	6
	D	PEREZ Patricio Nehuen	6,5	0	6,5	D	ERLIC Martin	5	0	5
	D	VOJVODA Mergim	5,5	0	5,5	C	ZAMBO ANGUISSA Andre`-Frank	6,5	0	6,5
	C	MARIN Razvan Gabriel	6	0	6	C	LOCATELLI Manuel	5,5	0	5,5
	C	THORSBY Morten	6,5	0	6,5	C	WEAH Timothy Tarpeh	5,5	0	5,5
	C	NDOYE Dan Assane	7	0	7	A	CAPRARI Gianluca	6,5	0	6,5
	A	RETEGUI Mateo	6,5	3	9,5	A	SUCCESS Isaac	5,5	0	5,5
	A	BERARDI Domenico	sv/ng	0	sv/ng	p	MIRANTE Antonio	sv/ng	0	sv/ng
	p	OCHOA Francisco Guillermo	7	-1	6	d	DE SCIGLIO Mattia	sv/ng	0	sv/ng
	d	PIROLA Lorenzo	5,5	-0,5	5	c	KOSTIC Filip	sv/ng	0	sv/ng
	c	MAZZITELLI Luca	6	0	6	c	MIRETTI Fabio	sv/ng	0	sv/ng
	a	MURIEL Luis Fernando Fruto	5	0	5	a	BARROW Musa	sv/ng	0	sv/ng
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie A
		River Pino						F.C. Birra Real 2023
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	MERET Alex	6	0,5	6,5	P	RUI PATRICIO Pedro dos Santos	5	-2	3
	D	BASTONI Alessandro	6	0	6	D	BASCHIROTTO Federico	6	0	6
	D	DE VRIJ Stefan	6,5	0	6,5	D	IZZO Armando	6,5	-0,5	6
	D	MANCINI Gianluca	5,5	0	5,5	D	MAZZOCCHI Pasquale	5	0	5
	C	ARTHUR Ramos de Oliveira	6	1	7	C	COLPANI Andrea	8	6	14
	C	GAGLIARDINI Roberto	7,5	0	7,5	C	COULIBALY Lassana	6	0	6
	C	RABIOT Adrien	5	-0,5	4,5	C	STREFEZZA Gabriel Tadeu	6	0	6
	C	WALACE Souza Silva	6	-0,5	5,5	C	ZAPPACOSTA Davide	5	0	5
	A	BELTRAN Lucas	6,5	0	6,5	A	BELOTTI Andrea	6	0	6
	A	LAURIENTE` Armand	5,5	0	5,5	A	IMMOBILE Ciro	5,5	-0,5	5
	A	MARTINEZ Lautaro Javier	7	3	10	A	LOOKMAN Ademola Olajade	4,5	-0,5	4
				Parziale squadra	71					Parziale squadra	66
				Totale squadra	72,5					Totale squadra	66
				Gol	2					Gol	1
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	P	GOLLINI Pierluigi	sv/ng	0	sv/ng	P	SILVESTRI Marco	6	-1	5
	D	ERLIC Martin	5	0	5	D	RANIERI Luca	sv/ng	0	sv/ng
	D	DRAGUSIN Radu Matei	6,5	0	6,5	D	SPINAZZOLA Leonardo	5,5	0	5,5
	D	OYONO Anthony Henri	6,5	0	6,5	D	PEREZ Patricio Nehuen	6,5	0	6,5
	C	FOLORUNSHO Michael Ijemuan	5,5	0	5,5	C	KYRIAKOPOULOS Georgios	sv/ng	0	sv/ng
	C	HENRIQUE Matheus	5	0	5	C	FARAONI Marco Davide	5	0	5
	C	SANCHES Renato Junior	sv/ng	0	sv/ng	C	ZALEWSKI Nicola	5,5	0	5,5
	A	OKAFOR Noah Arinzechukwu	6	0	6	C	ORISTANIO Gaetano	4,5	0	4,5
	A	RADONJIC Nemanja	5	0	5	A	MALINOVSKYI Ruslan	6	-0,5	5,5
	A	GYASI Emmanuel Quartsin	5	0	5	A	VLASIC Nikola	5	0	5
	p	CONTINI Nikita	sv/ng	0	sv/ng	p	MILINKOVIC-SAVIC Vanja	6	-4,5	1,5
	d	CALDIROLA Luca	6,5	0	6,5	d	TOLOI Rafael	sv/ng	0	sv/ng
	d	RUAN Tressoldi Netto	5	-0,5	4,5	d	ZAPPA Gabriele	5,5	0	5,5
	c	CASTROVILLI Gaetano	sv/ng	0	sv/ng	a	LAPADULA Gianluca	sv/ng	0	sv/ng
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie A
		S.S. Necropotence						Cristos F.C.
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	MAIGNAN Mike Peterson	6	-1	5	P	MUSSO Juan Agustin	5,5	-2	3,5
	D	DANILO Luiz da Silva	6,5	0	6,5	D	KOLASINAC Sead	6,5	0	6,5
	D	RUGGERI Matteo	5	0	5	D	MILENKOVIC Nikola	6	0	6
	D	SMALLING Christopher Lloyd	5	0	5	D	RRAHMANI Amir	6,5	0	6,5
	DR	CARLOS AUGUSTO Zopolato Neves	6	0	6	C	CALHANOGLU Hakan	6,5	0	6,5
	C	LOBOTKA Stanislav	6,5	0	6,5	C	KAMADA Daichi	5	0	5
	C	WEAH Timothy Tarpeh	5,5	0	5,5	C	LOCATELLI Manuel	5,5	0	5,5
	CR	STROOTMAN Kevin Johannes	7	0	7	C	PELLEGRINI Lorenzo	5,5	-0,5	5
	A	DE KETELAERE Charles	5,5	0	5,5	A	BALDANZI Tommaso	5	-0,5	4,5
	A	GONZALEZ Nicolas Ivan	6,5	3	9,5	A	RETEGUI Mateo	6,5	3	9,5
	A	KVARATSKHELIA Khvicha	7	1	8	A	SCAMACCA Gianluca	6	0	6
				Parziale squadra	69,5					Parziale squadra	64,5
				Totale squadra	71					Totale squadra	64,5
				Gol	1					Gol	0
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	Ds	BIRAGHI Cristiano	sv/ng	0	sv/ng	P	CARNESECCHI Marco	sv/ng	0	sv/ng
	Cs	PASALIC Mario	sv/ng	0	sv/ng	D	BAKKER Mitchel	sv/ng	0	sv/ng
	P	SPORTIELLO Marco	sv/ng	0	sv/ng	D	NATAN Bernardo de Souza	sv/ng	0	sv/ng
	D	MARUSIC Adam	5	0	5	D	DOIG Josh Thomas	6	0	6
	D	FAZIO Federico Julian	sv/ng	0	sv/ng	C	CHUKWUEZE Samuel Chimerenka	6	0	6
	C	DOMINGUEZ Nicolas Martin	6	0	6	C	AOUAR Houssem	6	2,5	8,5
	C	ROVELLA Nicolo`	sv/ng	0	sv/ng	C	ELMAS Eljif	sv/ng	0	sv/ng
	A	CANCELLIERI Matteo	5	0	5	A	BETO Norberto Bercique	sv/ng	0	sv/ng
	A	BANDA Lameck	7	2	9	A	NGONGE Cyril	7	3	10
	p	MIRANTE Antonio	sv/ng	0	sv/ng	C	MBOULA Jordi	sv/ng	0	sv/ng
	d	EBOSSE Enzo	sv/ng	0	sv/ng	p	PROVEDEL Ivan	5,5	-1	4,5
	c	BARAK Antonin	sv/ng	0	sv/ng	d	EBUEHI Tyronne Efe	5	0	5
	c	POGBA Paul Labile	6,5	0	6,5	d	NDICKA Obite Evan	sv/ng	0	sv/ng
	a	SOULE` Matias	sv/ng	0	sv/ng	a	DEULOFEU Gerard	sv/ng	0	sv/ng
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie B
		Bayern Money						Tapparella P.D.
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
